================================================================================
WebSocket Connection Log
Connection ID: keep_alive_869cb4a775e4
Connection Type: keep_alive
User: ATIVOS Client 1
Created: 2026-03-03T14:41:49.252972
Log File: ATIVOS_Client_1_keep_alive_keep_alive_869cb4a775e4_20260303_144149.log
================================================================================

[2026-03-03T14:41:49.254966] [INIT] Iniciando estabelecimento de conexão
  Data: {"ssid_preview": "42[\"auth\",{\"session\":\"9jq0qg4a", "is_demo": true, "user_name": "ATIVOS Client 1", "urls_available": 2}
[2026-03-03T14:41:50.139617] [CONNECTED] Conexão estabelecida em DEMO-EU
[2026-03-03T14:41:55.937660] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-03T14:41:55.938173] [RECV] Mensagem recebida (39 bytes): [["USDCAD_otc",1772566915.314,1.36877]]
[2026-03-03T14:41:55.939918] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-03T14:41:55.940436] [RECV] Mensagem recebida (39 bytes): [["USDJPY_otc",1772566915.314,159.583]]
[2026-03-03T14:41:55.943166] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-03T14:41:55.943166] [RECV] Mensagem recebida (39 bytes): [["USDRUB_otc",1772566915.314,74.9072]]
[2026-03-03T14:41:55.944701] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-03T14:41:55.945213] [RECV] Mensagem recebida (40 bytes): [["EURRUB_otc",1772566915.314,85.27155]]
[2026-03-03T14:41:55.946935] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-03T14:41:55.948444] [RECV] Mensagem recebida (40 bytes): [["EURTRY_otc",1772566915.316,51.85888]]
[2026-03-03T14:41:56.263514] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-03T14:41:56.443223] [RECV] Mensagem recebida (39 bytes): [["AUDCHF_otc",1772566915.819,0.49297]]
[2026-03-03T14:41:56.446721] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-03T14:41:56.447326] [RECV] Mensagem recebida (39 bytes): [["CADCHF_otc",1772566915.819,0.61505]]
[2026-03-03T14:41:56.454513] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-03T14:41:56.456507] [RECV] Mensagem recebida (39 bytes): [["CADJPY_otc",1772566915.819,115.462]]
[2026-03-03T14:41:56.459688] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-03T14:41:56.460218] [RECV] Mensagem recebida (39 bytes): [["EURUSD_otc",1772566915.819,1.17455]]
[2026-03-03T14:41:56.463716] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-03T14:41:56.464379] [RECV] Mensagem recebida (39 bytes): [["NZDUSD_otc",1772566915.819,0.58664]]
[2026-03-03T14:41:56.466342] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-03T14:41:56.467341] [RECV] Mensagem recebida (39 bytes): [["USDCAD_otc",1772566915.819,1.36875]]
[2026-03-03T14:41:56.470376] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-03T14:41:56.470891] [RECV] Mensagem recebida (39 bytes): [["USDJPY_otc",1772566915.819,159.585]]
[2026-03-03T14:41:56.472396] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-03T14:41:56.472396] [RECV] Mensagem recebida (38 bytes): [["USDRUB_otc",1772566915.82,74.9072]]
[2026-03-03T14:41:56.474493] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-03T14:41:56.475388] [RECV] Mensagem recebida (39 bytes): [["EURRUB_otc",1772566915.82,85.27161]]
[2026-03-03T14:41:56.476592] [RECV] Mensagem recebida (50 bytes): 451-["updateStream",{"_placeholder":true,"num":0}]
[2026-03-03T14:41:56.477587] [RECV] Mensagem recebida (40 bytes): [["EURTRY_otc",1772566915.821,51.85888]]
